algorithm,lambda,episode,return,steps,success,epsilon,wall_hits,penalty_entries,gate_blocks,seed,lambda_label
sarsa_lambda,0.0,209,-307.08999999999975,441,0,0.5524458576039994,102,7,0,5,lambda=0.0
sarsa_lambda,0.0,210,38.099999999999966,127,1,0.5508795592970472,19,5,0,5,lambda=0.0
sarsa_lambda,0.0,211,-294.1300000000003,441,0,0.5493177017698612,85,9,0,5,lambda=0.0
sarsa_lambda,0.0,212,27.299999999999983,159,1,0.5477602724319119,28,2,3,5,lambda=0.0
sarsa_lambda,0.0,213,76.39000000000001,110,1,0.5462072587283667,18,1,0,5,lambda=0.0
sarsa_lambda,0.0,214,-237.33999999999978,441,0,0.5446586481399885,74,1,2,5,lambda=0.0
sarsa_lambda,0.0,215,-23.690000000000126,264,1,0.5431144281830347,41,2,1,5,lambda=0.0
sarsa_lambda,0.0,216,-10.07999999999997,191,1,0.5415745864091568,36,5,1,5,lambda=0.0
sarsa_lambda,0.0,217,-56.22999999999978,279,1,0.5400391104053001,61,3,0,5,lambda=0.0
sarsa_lambda,0.0,218,-43.63999999999986,272,1,0.5385079877936031,49,2,1,5,lambda=0.0
sarsa_lambda,0.0,219,-250.91000000000025,441,0,0.5369812062312984,89,1,0,5,lambda=0.0
sarsa_lambda,0.0,220,-252.9699999999999,441,0,0.5354587534106129,67,6,0,5,lambda=0.0
sarsa_lambda,0.0,221,18.389999999999986,121,1,0.5339406170586684,33,5,0,5,lambda=0.0
sarsa_lambda,0.0,222,-269.2500000000001,441,0,0.532426784937383,83,4,0,5,lambda=0.0
sarsa_lambda,0.0,223,-317.13000000000073,441,0,0.5309172448433721,80,12,0,5,lambda=0.0
sarsa_lambda,0.0,224,-225.18000000000012,441,0,0.5294119846078505,67,2,0,5,lambda=0.0
sarsa_lambda,0.0,225,-207.98000000000013,441,0,0.5279109920965339,62,1,0,5,lambda=0.0
sarsa_lambda,0.0,226,-19.959999999999937,173,1,0.5264142552095411,51,4,0,5,lambda=0.0
sarsa_lambda,0.0,227,51.94000000000001,107,1,0.5249217618812968,25,3,0,5,lambda=0.0
sarsa_lambda,0.0,228,-270.18000000000006,441,0,0.5234335000804338,64,10,0,5,lambda=0.0
sarsa_lambda,0.0,229,-311.97,441,0,0.5219494578096964,104,1,3,5,lambda=0.0
sarsa_lambda,0.0,230,-36.79999999999994,243,1,0.5204696231058439,35,5,2,5,lambda=0.0
sarsa_lambda,0.0,231,-293.18999999999977,441,0,0.5189939840395535,87,7,0,5,lambda=0.0
sarsa_lambda,0.0,232,-271.8200000000004,441,0,0.5175225287153248,94,4,0,5,lambda=0.0
sarsa_lambda,0.0,233,-35.70999999999985,281,1,0.5160552452713832,47,4,0,5,lambda=0.0
sarsa_lambda,0.0,234,-21.579999999999828,217,1,0.5145921218795851,45,4,0,5,lambda=0.0
sarsa_lambda,0.0,235,66.63000000000004,76,1,0.513133146745322,18,4,0,5,lambda=0.0
sarsa_lambda,0.0,236,-321.06000000000057,441,0,0.5116783081074252,93,9,0,5,lambda=0.0
sarsa_lambda,0.0,237,-0.009999999999976694,240,1,0.5102275942380721,32,3,0,5,lambda=0.0
sarsa_lambda,0.0,238,25.16000000000001,132,1,0.5087809934426901,34,3,0,5,lambda=0.0
sarsa_lambda,0.0,239,-68.25999999999992,308,1,0.5073384940598638,54,5,0,5,lambda=0.0
sarsa_lambda,0.0,240,-258.1600000000004,441,0,0.5059000844612397,84,4,0,5,lambda=0.0
sarsa_lambda,0.0,241,-247.1300000000002,441,0,0.5044657530514337,79,3,0,5,lambda=0.0
sarsa_lambda,0.0,242,-244.03999999999985,441,0,0.5030354882679366,69,5,0,5,lambda=0.0
sarsa_lambda,0.0,243,-216.95000000000002,441,0,0.5016092785810216,60,3,0,5,lambda=0.0
sarsa_lambda,0.0,244,-120.59999999999981,361,1,0.5001871124936506,83,1,0,5,lambda=0.0
sarsa_lambda,0.0,245,-31.919999999999916,199,1,0.49876897854138247,44,6,1,5,lambda=0.0
sarsa_lambda,0.0,246,-222.69000000000014,441,0,0.4973548652922799,60,3,0,5,lambda=0.0
